city,region,country,cc,lat,lng
New York,New York,USA,US,40.7128,-74.0060
New Rochelle,New York,USA,US,40.9115,-73.7826
White Plains,New York,USA,US,41.0340,-73.7629
Eastchester,New York,USA,US,40.9565,-73.8115
Hartsdale,New York,USA,US,41.0215,-73.7987
Montreal,Quebec,Canada,CA,45.5017,-73.5673
Amsterdam,Noord-Holland,Netherlands,NL,52.3676,4.9041
Hengelo,Overijssel,Netherlands,NL,52.2660,6.7930
Uncassville,Connecticut,USA,US,41.4775,-72.0892
Queens,New York,USA,US,40.7282,-73.7949
Oldenzaal,Overijssel,Netherlands,NL,52.3107,6.9280
